"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IVNS1ABP1",4.44187842106613e-07,0.505783639588238,0.288,0.134,0.00689779300007359,"4","IVNS1ABP"
"ATP6V0D1",4.46622602743048e-07,0.498540265260172,0.277,0.127,0.00693560239799679,"4","ATP6V0D1"
"CLTB",4.57623177915929e-07,0.321169942231872,0.356,0.172,0.00710643032985646,"4","CLTB"
"TSEN54",4.71678658798326e-07,0.580591370749317,0.267,0.121,0.00732469789247921,"4","TSEN54"
"CKLF1",4.72913125564969e-07,0.29089134273348,0.696,0.43,0.00734386792689841,"4","CKLF"
"SCUBE1",4.89567366423549e-07,4.55657722164165,0.026,0.001,0.00760249163319129,"4","SCUBE1"
"ZMIZ1",4.92262354879635e-07,1.2780794239525,0.094,0.025,0.00764434210892586,"4","ZMIZ1"
"USP38",4.98989059471598e-07,0.806087522741859,0.105,0.029,0.00774880110453444,"4","USP38"
"RALA",5.02439439402154e-07,0.775434713889071,0.183,0.072,0.00780238205447605,"4","RALA"
"MRPL41",5.08887475929925e-07,0.44441946893959,0.33,0.16,0.0079025136137158,"4","MRPL41"
"DOCK8",5.10818077153437e-07,0.576153711846219,0.304,0.144,0.00793249392011573,"4","DOCK8"
"KRT861",5.20799341518622e-07,0.68326371896812,0.22,0.095,0.00808749297444268,"4","KRT86"
"MAP4",5.25331376196635e-07,0.893577245850382,0.157,0.056,0.00815787094095754,"4","MAP4"
"LAG31",5.26970907181407e-07,0.116913682982674,0.309,0.142,0.00818333121762006,"4","LAG3"
"CETN2",5.40420110119033e-07,1.00748738697338,0.131,0.043,0.00839218389003846,"4","CETN2"
"LAP3",5.44896862360662e-07,0.661550510358907,0.194,0.077,0.00846170337559871,"4","LAP3"
"NDUFV2",5.50458098341528e-07,0.445738159145204,0.288,0.134,0.00854806380914559,"4","NDUFV2"
"BNIP3L",5.50864919273118e-07,0.580326993544617,0.23,0.099,0.00855438133139225,"4","BNIP3L"
"ODF2L",5.582112695778e-07,0.362172312626983,0.34,0.162,0.00866846280527366,"4","ODF2L"
"TRABD",5.58851488016337e-07,0.609334946438076,0.314,0.152,0.0086784047574057,"4","TRABD"
"AUP1",5.66322084165981e-07,0.455446440297216,0.346,0.171,0.00879441564501353,"4","AUP1"
"CDK2AP2",5.88514239379002e-07,0.35666592409551,0.518,0.281,0.00913903762331652,"4","CDK2AP2"
"ZNF672",5.97715402459653e-07,1.32005596348125,0.099,0.027,0.00928192248479594,"4","ZNF672"
"ZNF7911",6.11828084834679e-07,0.706931570674649,0.199,0.081,0.00950107832939773,"4","ZNF791"
"NSMCE1",6.27676129640947e-07,0.182148701956986,0.314,0.144,0.00974718261719426,"4","NSMCE1"
"CMTM8",6.30479608085469e-07,2.07231439862427,0.063,0.012,0.00979071783395925,"4","CMTM8"
"BIRC32",6.67079299497308e-07,0.67582117686854,0.455,0.265,0.0103590744418937,"4","BIRC3"
"EIF2AK11",6.68257387869209e-07,0.658376687026661,0.168,0.062,0.0103773689762209,"4","EIF2AK1"
"LSM12",6.68271056525568e-07,0.975427153208621,0.141,0.049,0.0103775812367855,"4","LSM12"
"PLRG1",6.79115950339841e-07,0.721597116674124,0.157,0.057,0.0105459915928274,"4","PLRG1"
"INO80C",6.99940900212799e-07,0.743409567322347,0.141,0.048,0.0108693822394046,"4","INO80C"
"CMTM3",7.16382438235046e-07,0.438181354811507,0.325,0.154,0.011124702883352,"4","CMTM3"
"NUDT19",7.45783322771815e-07,1.23221580431954,0.11,0.033,0.0115812692193235,"4","NUDT19"
"ELL21",7.94609810300221e-07,1.00957934427475,0.168,0.064,0.0123394957441521,"4","ELL2"
"CHORDC11",8.14508016371957e-07,0.516262256555459,0.372,0.195,0.0126484949862401,"4","CHORDC1"
"SNRPB2",8.17057498331735e-07,0.250767403086104,0.518,0.287,0.0126880858915935,"4","SNRPB2"
"FKBP1A1",8.33796330927173e-07,0.288770729057059,0.597,0.353,0.0129480232229681,"4","FKBP1A"
"CYTIP1",8.34291675465583e-07,0.350252629650575,0.592,0.346,0.012955715428305,"4","CYTIP"
"HMGN4",9.28082221570271e-07,0.427300654722834,0.22,0.095,0.0144121888187647,"4","HMGN4"
"CYP51A1",9.28430614112885e-07,1.20515159215908,0.126,0.041,0.014417599006559,"4","CYP51A1"
"POLR2B",9.39173284088992e-07,0.626897234299033,0.194,0.078,0.014584421928618,"4","POLR2B"
"AIMP1",9.46697962668442e-07,0.495277337855998,0.251,0.114,0.0147012726622782,"4","AIMP1"
"PDE4B2",9.62805137238794e-07,0.424482746307223,0.335,0.167,0.0149514009761812,"4","PDE4B"
"RSL24D1",9.83492304444289e-07,0.161795040690427,0.602,0.33,0.0152726519957154,"4","RSL24D1"
"SLC25A30",9.83884066356767e-07,2.50281835495567,0.042,0.005,0.0152787356664542,"4","SLC25A30"
"CALR",1.00518969794112e-06,0.411590149538521,0.649,0.411,0.0156095908193276,"4","CALR"
"TBCC",1.01125397866665e-06,0.449162486466452,0.293,0.139,0.0157037630347144,"4","TBCC"
"C3orf38",1.01724177901582e-06,1.02016842687547,0.152,0.055,0.0157967475863367,"4","C3orf38"
"SCAF111",1.03944888000256e-06,0.447354693369475,0.408,0.218,0.0161416016575597,"4","SCAF11"
