"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","SYMBOL","ENTREZID"
"79","ACSL1",5.0917553249032e-10,0.336737816712264,0.02,0.007,7.78325718964703e-06,"ACSL1","2180"
"80","ACSL3",1.54147148170412e-103,0.962986605185532,0.161,0.046,2.35629330693292e-99,"ACSL3","2181"
"81","ACSL4",3.42914177174863e-17,2.25226984484073,0.011,0.001,5.24178611229495e-13,"ACSL4","2182"
"82","ACSL5",1.1770531896384e-11,-0.049622840472729,0.368,0.291,1.79924350568126e-07,"ACSL5","51703"
"83","ACSM3",1.93626895083587e-09,-0.170832818227597,0.063,0.038,2.95978071824772e-05,"ACSM3","6296"
"84","ACTA2",1.0306973326641e-07,0.420621707904039,0.021,0.009,0.00157552394271034,"ACTA2","59"
"85","ACTB",1.06085163072826e-22,0.364700403226021,0.919,0.899,1.62161780273122e-18,"ACTB","60"
"86","ACTG1",7.05574821182497e-09,0.0898702649834702,0.844,0.809,0.000107854167165956,"ACTG1","71"
"87","ACTL10",1.41632681064943e-11,0.445049633457502,0.019,0.006,2.16499716275872e-07,"ACTL10","170487"
"88","ACTL6A",4.16244113437804e-34,-0.142143374998893,0.11,0.05,6.36270751801027e-30,"ACTL6A","86"
"89","ACTN1",2.38960288425184e-100,0.700810686771846,0.136,0.033,3.65274696886737e-96,"ACTN1","87"
"90","ACTN4",3.30489025919207e-47,0.335341132236193,0.521,0.376,5.05185525020099e-43,"ACTN4","81"
"91","ACTR10",8.13561522045541e-24,0.0621453655015562,0.179,0.112,1.24361014259881e-19,"ACTR10","55860"
"92","ACTR1A",2.68016941945719e-20,0.123919448390705,0.143,0.088,4.09690697458226e-16,"ACTR1A","10121"
"93","ACTR1B",1.70035640780073e-19,-0.0968172886075185,0.109,0.062,2.5991648049642e-15,"ACTR1B","10120"
"94","ACTR2",1.25534525950764e-81,0.434379938628116,0.365,0.2,1.91892076368338e-77,"ACTR2","10097"
"95","ACTR3",1.98754343474213e-83,0.38989456722027,0.364,0.197,3.03815889434682e-79,"ACTR3","10096"
"96","ACTR3B",1.29015249746098e-07,0.257044087943386,0.014,0.005,0.00197212710761886,"ACTR3B","57180"
"97","ACTR3C",8.22062899708092e-09,0.194501544831899,0.034,0.018,0.000125660534849379,"ACTR3C","653857"
"98","ACTR5",1.53160985032214e-10,0.989739674971784,0.019,0.007,2.34121881720242e-06,"ACTR5","79913"
"99","ACTR6",4.86100751193144e-12,0.0806382221662254,0.061,0.034,7.4305360827384e-08,"ACTR6","64431"
"100","ACTR8",9.72023957071359e-12,0.390402076119456,0.031,0.013,1.48583582077928e-07,"ACTR8","93973"
"101","ACVR1",5.54730377778415e-23,1.6196352678113,0.026,0.005,8.47960855472085e-19,"ACVR1","90"
"102","ACVR1B",1.58636923308548e-09,0.203491569147157,0.095,0.065,2.42492400969446e-05,"ACVR1B","91"
"103","ACVR2B",5.66107759809756e-07,0.434478983341663,0.013,0.005,0.00865352321645193,"ACVR2B","93"
"104","ACVRL1",3.94271718873835e-17,0.20379383706656,0.253,0.186,6.02683749470544e-13,"ACVRL1","94"
"105","ACY1",5.92862146298872e-07,-0.870960971162008,0.053,0.075,0.00906249076832456,"ACY1","95"
"106","ACY3",6.68027668671588e-93,2.48750890180972,0.088,0.013,1.02114709433139e-88,"ACY3","91703"
"107","ACYP1",1.69816168077197e-07,-0.422572684796673,0.087,0.061,0.00259580994522803,"ACYP1","97"
"108","ACYP2",1.36176639077775e-12,-0.668816862714502,0.075,0.045,2.08159610494286e-08,"ACYP2","98"
"109","ADA",3.05577218701618e-18,1.13969321434582,0.017,0.002,4.67105336507293e-14,"ADA","100"
"110","ADAM10",4.56846621963468e-46,0.720425867699539,0.143,0.065,6.98335746333356e-42,"ADAM10","102"
"111","ADAM15",1.29410004767543e-139,1.231769609314,0.225,0.069,1.97816133287666e-135,"ADAM15","8751"
"112","ADAM17",3.31374725835164e-20,0.96984919561852,0.067,0.032,5.06539405911632e-16,"ADAM17","6868"
"113","ADAM28",8.47861410668118e-19,2.55993786456717,0.013,0.001,1.29604095234728e-14,"ADAM28","10863"
"114","ADAM9",3.39940368120281e-185,1.91470657863604,0.193,0.036,5.19632846708661e-181,"ADAM9","8754"
"115","ADAMDEC1",1.65263702754017e-12,-2.13447567944467,0.013,0.034,2.52622096029791e-08,"ADAMDEC1","27299"
"116","ADAMTS15",1.77706981834988e-23,3.49758585534125,0.014,0,2.71642892432963e-19,"ADAMTS15","170689"
"117","ADAMTS9",3.22370760016022e-25,2.87624930187488,0.016,0.001,4.92775943760491e-21,"ADAMTS9","56999"
"118","ADAMTSL5",7.96452310285074e-10,4.59081547586722,0.007,0.001,1.21745700150176e-05,"ADAMTSL5","339366"
"119","ADAP1",6.19739292627256e-17,0.0297475272396067,0.168,0.113,9.47333482710024e-13,"ADAP1","11033"
"120","ADAR",1.64710839993611e-62,0.665650353123684,0.212,0.101,2.51776990014234e-58,"ADAR","103"
"121","ADARB1",1.43750522749873e-10,1.70448465551599,0.007,0,2.19737049075455e-06,"ADARB1","104"
"122","ADAT1",8.86808621368952e-13,0.561655309589278,0.03,0.012,1.35557565862458e-08,"ADAT1","23536"
