"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MARCKS",4.54580781476033e-13,6.76395394207736,0.057,0.002,2.72025685443073e-08,"3","MARCKS"
"TRIB1",4.93927386528119e-13,4.84791736224344,0.057,0.002,2.95571087372292e-08,"3","TRIB1"
"CYTH1",5.26303875643922e-13,0.935266444638481,0.555,0.297,3.14945502224079e-08,"3","CYTH1"
"HLA-C1",5.32899596855571e-13,0.789916740792806,0.956,0.948,3.18892447754342e-08,"3","HLA-C"
"STAT1",5.47656432458109e-13,1.28031014413636,0.485,0.246,3.27723085747257e-08,"3","STAT1"
"GPSM3",6.79258450520158e-13,0.901841037486577,0.664,0.41,4.06475049375767e-08,"3","GPSM3"
"EML4",8.04752629027e-13,1.00783316282659,0.677,0.444,4.81572020736047e-08,"3","EML4"
"SLC7A5",9.99419539120755e-13,1.41579973976529,0.328,0.135,5.98062646405251e-08,"3","SLC7A5"
"MYO7A",1.312421339161e-12,4.24893575625736,0.074,0.006,7.85366053567335e-08,"3","MYO7A"
"EEF1A11",1.58393780960061e-12,1.07044154726835,0.904,0.905,9.47844224643103e-08,"3","EEF1A1"
"SEMA4D",1.6150761660865e-12,0.860616872023662,0.729,0.511,9.66477728547822e-08,"3","SEMA4D"
"CPNE7",1.8258873571116e-12,2.86025230486601,0.135,0.029,1.09262925336915e-07,"3","CPNE7"
"TNF",1.89194060808427e-12,4.50663596105046,0.114,0.02,1.13215617928371e-07,"3","TNF"
"GIMAP21",2.00393286422251e-12,0.75224556971506,0.323,0.128,1.19917346527939e-07,"3","GIMAP2"
"QSER1",2.15354021044738e-12,2.78180607629328,0.07,0.005,1.28869999733381e-07,"3","QSER1"
"INSR",2.22927567930448e-12,7.23786251706775,0.044,0,1.33402085925259e-07,"3","INSR"
"RNU6-2",2.6615920029666e-12,2.75680222998979,0.131,0.027,1.59272327049524e-07,"3","RNU6-2"
"IRAK1",2.69420610673623e-12,1.23567343502478,0.253,0.087,1.61223987633203e-07,"3","IRAK1"
