"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SVIL1",5.31697663930026e-42,1.15948211421087,0.18,0.088,1.357105117415e-37,"4","SVIL"
"SLC2A31",5.8028619469309e-42,0.752364351439381,0.444,0.314,1.48112248333464e-37,"4","SLC2A3"
"ECRG41",1.07242731624263e-41,2.85790309280383,0.031,0.005,2.73726348197768e-37,"4","ECRG4"
"LRRN3",1.65270873187126e-41,2.01473778568985,0.046,0.01,4.2183737672282e-37,"4","LRRN3"
"SNHG11",2.00157330708412e-41,0.85034972828704,0.309,0.188,5.1088157090015e-37,"4","SNHG1"
"LINC022731",2.1896586065514e-41,1.5583134437158,0.089,0.03,5.58888462736179e-37,"4","LINC02273"
"EIF4A21",3.22359528748921e-41,0.541205585955039,0.622,0.502,8.22790461178745e-37,"4","EIF4A2"
"MYB1",4.04761271840329e-41,2.41483165208583,0.045,0.01,1.03311267024526e-36,"4","MYB"
"LGMN1",9.59496900745819e-41,2.7423687949297,0.03,0.004,2.44901988946363e-36,"4","LGMN"
"NSA21",1.50057490461132e-40,0.597677249773037,0.522,0.39,3.83006738652994e-36,"4","NSA2"
"FTH11",1.51017261940918e-40,0.449134290879893,0.966,0.946,3.85456459378e-36,"4","FTH1"
"TMEM45B",2.02514443016538e-40,4.25184051626661,0.015,0.001,5.16897864355412e-36,"4","TMEM45B"
"SLC8B1",2.03055865763108e-40,1.66037020710384,0.087,0.03,5.18279791773756e-36,"4","SLC8B1"
"SLC22A17",4.94549787496184e-40,3.47342684295597,0.019,0.002,1.26228887760526e-35,"4","SLC22A17"
"LINC01550",6.54474923583553e-40,1.76108264236421,0.09,0.032,1.67048179495466e-35,"4","LINC01550"
"TAMALIN1",9.56525467057902e-40,1.55300411157494,0.083,0.028,2.44143560211859e-35,"4","TAMALIN"
"ESD1",1.91045423922636e-39,1.08743300505328,0.217,0.118,4.87624340020137e-35,"4","ESD"
"SOCS31",2.31890619915984e-39,1.19311634742259,0.131,0.056,5.91877618273558e-35,"4","SOCS3"
"HAPLN31",2.54794492896779e-39,1.57627979478508,0.072,0.022,6.50337463669739e-35,"4","HAPLN3"
"ERCC6L2",2.56592363096167e-39,1.0031721454521,0.229,0.127,6.54926347566657e-35,"4","ERCC6L2"
"ELF11",3.30274331378168e-39,0.465158093304434,0.699,0.589,8.42992203409636e-35,"4","ELF1"
"BEX41",3.4997730625193e-39,0.836897312531201,0.257,0.144,8.93282076477427e-35,"4","BEX4"
"AFF11",4.59697400591727e-39,0.849145791351962,0.311,0.195,1.17333164527032e-34,"4","AFF1"
"SH3BGRL2",5.50557038206994e-39,3.67939982372295,0.018,0.001,1.40524178431953e-34,"4","SH3BGRL2"
"CD442",6.21043345809247e-39,0.469382173045009,0.662,0.548,1.58515103584352e-34,"4","CD44"
"NME2",6.60105818620725e-39,0.518595422724172,0.629,0.516,1.68485409144754e-34,"4","NME2"
"PLXDC11",8.98626417914127e-39,1.57563825488093,0.088,0.031,2.29365406908402e-34,"4","PLXDC1"
"SYPL11",1.54373843479481e-38,1.01361631366607,0.207,0.11,3.94023798097028e-34,"4","SYPL1"
"NLN",1.58810796056353e-38,2.71630376808764,0.03,0.005,4.05348675854235e-34,"4","NLN"
"EIF3M1",2.03479775377032e-38,0.655443680235091,0.479,0.356,5.19361778672337e-34,"4","EIF3M"
"INPP5A1",3.25721805334881e-38,1.4479000096489,0.106,0.042,8.3137233593675e-34,"4","INPP5A"
"CRLF31",4.98851506382461e-38,0.815470718296736,0.344,0.222,1.27326858489059e-33,"4","CRLF3"
"TNRC6B1",6.93340190339324e-38,0.509778033252417,0.651,0.535,1.76968150182209e-33,"4","TNRC6B"
"LINS1",1.63467421760347e-37,1.06676036233182,0.192,0.1,4.1723424730111e-33,"4","LINS1"
"SNHG25",2.38266267688068e-37,1.17482674499165,0.162,0.079,6.08150821647025e-33,"4","SNHG25"
"CLN51",3.23078781155907e-37,1.52716363202977,0.09,0.033,8.24626281022338e-33,"4","CLN5"
"TNFRSF13C",3.39715003589182e-37,2.43808483349225,0.035,0.007,8.67088575161027e-33,"4","TNFRSF13C"
"TMEM272",3.92475669960046e-37,3.37559081590428,0.02,0.002,1.00175490000602e-32,"4","TMEM272"
"ABCD21",4.0381497713571e-37,1.25456243848672,0.142,0.066,1.03069734764119e-32,"4","ABCD2"
"LINC012591",4.40158478960352e-37,2.32869977837984,0.038,0.008,1.1234605016984e-32,"4","LINC01259"
"PGK11",6.8115140859285e-37,0.510916139082233,0.584,0.463,1.73857085529239e-32,"4","PGK1"
"BIRC31",7.63621750853686e-37,1.06301329921464,0.192,0.101,1.94906815687895e-32,"4","BIRC3"
"SVIP1",7.67458941839054e-37,0.913709727605554,0.262,0.155,1.95886220315e-32,"4","SVIP"
"AQP31",1.11370059681237e-36,1.39654670078993,0.093,0.035,2.8426094033039e-32,"4","AQP3"
"FILIP1L1",1.5652846953164e-36,1.57742755420119,0.084,0.03,3.99523265632558e-32,"4","FILIP1L"
"SDK21",1.79922484194874e-36,1.97802848315268,0.045,0.011,4.59234148658997e-32,"4","SDK2"
"ABCG11",2.01621210972808e-36,1.34329947684864,0.125,0.055,5.14617978886996e-32,"4","ABCG1"
"NSG11",2.30352001457485e-36,1.17898826013722,0.142,0.066,5.87950448520084e-32,"4","NSG1"
"LINC02295",2.54578129260872e-36,2.6988063823354,0.031,0.005,6.49785217125448e-32,"4","LINC02295"
"SYDE21",2.63691796202878e-36,2.53516566172192,0.032,0.006,6.73046940628227e-32,"4","SYDE2"
"BCAS41",2.72854224570402e-36,1.1883880662194,0.151,0.072,6.96433122793495e-32,"4","BCAS4"
"TBXA2R1",3.29802266485624e-36,2.30438898439722,0.046,0.011,8.41787304977908e-32,"4","TBXA2R"
"PNISR1",3.85620566119783e-36,0.400374137979739,0.74,0.634,9.84257932964135e-32,"4","PNISR"
"HOOK21",4.70813593421249e-36,0.887590382915901,0.253,0.15,1.2017046158484e-31,"4","HOOK2"
"FCMR1",6.4405435383921e-36,0.561492628880864,0.565,0.447,1.6438843327392e-31,"4","FCMR"
"SORBS31",6.99915337887654e-36,1.2295700873248,0.128,0.057,1.78646390842445e-31,"4","SORBS3"
"SELENOH",7.50994581752793e-36,0.651080420974749,0.446,0.328,1.91683857046583e-31,"4","SELENOH"
"FOXP1-AS1",1.19653802333186e-35,2.37897232942666,0.036,0.007,3.05404365075223e-31,"4","FOXP1-AS1"
"CPAMD8",1.30757669565572e-35,3.29172870815425,0.019,0.002,3.33745875799165e-31,"4","CPAMD8"
"MAP3K14-AS11",1.53865930551447e-35,1.68899493338599,0.065,0.02,3.92727401139513e-31,"4","MAP3K14-AS1"
"FGF91",1.67584053921103e-35,2.6978908687189,0.031,0.005,4.27741539228223e-31,"4","FGF9"
"CRIP21",1.73325514837611e-35,1.15033604735286,0.097,0.037,4.42396044071519e-31,"4","CRIP2"
"TMEM2201",1.73452845846772e-35,2.21920611560035,0.037,0.008,4.42721043739301e-31,"4","TMEM220"
"PLCG11",2.79484366058717e-35,0.758680153608877,0.293,0.181,7.1335589592827e-31,"4","PLCG1"
"APEX1",4.04564069229979e-35,0.81577626362552,0.277,0.17,1.0326093303026e-30,"4","APEX1"
